SYNMAP,synform,synLPh,synLT,Koeppen,AREAkm2
43,Grasses & Barren,-,-,Dfb,4037.432945
44,Crops,-,-,Af,158697.8655
44,Crops,-,-,Am,345411.8639
44,Crops,-,-,As,155677.0203
44,Crops,-,-,Aw,1896721.059
44,Crops,-,-,BSh,1017374.697
44,Crops,-,-,BSk,509223.1934
44,Crops,-,-,BWh,245039.1849
44,Crops,-,-,BWk,18249.73944
44,Crops,-,-,Cfa,2219966.189
44,Crops,-,-,Cfb,1823512.736
44,Crops,-,-,Csa,1221567.577
44,Crops,-,-,Csb,351343.9612
44,Crops,-,-,Cwa,1451771.699
44,Crops,-,-,Cwb,178770.2308
44,Crops,-,-,Dfa,896242.0017
44,Crops,-,-,Dfb,2945177.102
44,Crops,-,-,Dfc,62091.91879
44,Crops,-,-,Dsa,30734.03091
44,Crops,-,-,Dsb,18322.44409
44,Crops,-,-,Dwa,398616.2512
44,Crops,-,-,Dwb,222367.2882
44,Crops,-,-,Dwc,17535.07164
44,Crops,-,-,ET,1416.311999
45,Barren,-,-,Af,4719.038531
45,Barren,-,-,Aw,740.3961902
45,Barren,-,-,BSh,277245.3927
45,Barren,-,-,BSk,857464.7724
45,Barren,-,-,BWh,13261078.06
45,Barren,-,-,BWk,3201514.906
45,Barren,-,-,Cfa,332.8237572
45,Barren,-,-,Cfb,1998.537858
45,Barren,-,-,Csa,50333.25528
45,Barren,-,-,Csb,129.8152774
45,Barren,-,-,Cwc,6458.78952
45,Barren,-,-,Dfa,1257.39154
45,Barren,-,-,Dfb,2578.044963
45,Barren,-,-,Dfc,15313.94409
45,Barren,-,-,Dfd,15626.78208
45,Barren,-,-,Dsb,258.802118
45,Barren,-,-,Dsc,14632.19113
45,Barren,-,-,Dwc,7100.482541
45,Barren,-,-,EF,9803.375134
45,Barren,-,-,ET,724673.6351
46,Urban,-,-,Af,8891.395167
46,Urban,-,-,Am,10117.15791
46,Urban,-,-,Aw,6456.541991
46,Urban,-,-,BSk,776.1785496
46,Urban,-,-,Cfa,66767.98603
46,Urban,-,-,Cfb,24442.44824
46,Urban,-,-,Csa,17431.46628
46,Urban,-,-,Csb,14760.78318
46,Urban,-,-,Cwa,1815.319193
46,Urban,-,-,Cwb,5676.247965
46,Urban,-,-,Dfa,13245.73411
46,Urban,-,-,Dfb,14221.728
47,Snow & Ice,-,-,BWk,1224.76192
47,Snow & Ice,-,-,Cfb,59.81560664
47,Snow & Ice,-,-,Cfc,2662.978701
47,Snow & Ice,-,-,Csc,516.1114129
47,Snow & Ice,-,-,Dfb,509.7300317
47,Snow & Ice,-,-,Dfc,34635.95161
47,Snow & Ice,-,-,Dfd,5474.798489
47,Snow & Ice,-,-,Dsb,197.0790726
47,Snow & Ice,-,-,Dsc,4471.845398
47,Snow & Ice,-,-,Dwc,5379.310226
47,Snow & Ice,-,-,EF,14651143.17
47,Snow & Ice,-,-,ET,1087208.218
