"response","fixed","random","Age.filter","equation","significant"
"BNPP_root","leaf.phenology","geographic.area/plot.name",">=100 yrs","BNPP_root = 1.75 + leaf.phenology x -0.1  + age x 0",FALSE
"BNPP_root_fine","leaf.phenology","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.36 + leaf.phenology x 0.17  + age x 0 + 0  x interaction",TRUE
"BNPP_root_coarse","leaf.phenology","geographic.area/plot.name",">=100 yrs","BNPP_root_coarse = 0.57 + leaf.phenology x -0.14",TRUE
"R_auto","leaf.phenology","geographic.area/plot.name",">=100 yrs","R_auto = 7.41 + leaf.phenology x -1.26  + age x 0.01",FALSE
"R_eco","leaf.phenology","geographic.area/plot.name",">=100 yrs","R_eco = 8.42 + leaf.phenology x 0.69  + age x 0.02",FALSE
"R_soil","leaf.phenology","geographic.area/plot.name",">=100 yrs","R_soil = 9.03 + leaf.phenology x 1.29  + age x 0 + -0.01  x interaction",TRUE
"R_soil_het","leaf.phenology","geographic.area/plot.name",">=100 yrs","R_soil_het = 3.78 + leaf.phenology x 0.67  + age x 0",FALSE
"GPP","MAT + AGE","geographic.area/plot.name","none",NA,FALSE
"GPP","MAT + AGE","geographic.area/plot.name",">=100 yrs","7.23 + MAT + AGE x 0.58",FALSE
"NPP","MAT + AGE","geographic.area/plot.name","none",NA,FALSE
"NPP","MAT + AGE","geographic.area/plot.name",">=100 yrs","4.64 + MAT + AGE x 0.2",FALSE
"ANPP","MAT + AGE","geographic.area/plot.name","none",NA,FALSE
"ANPP","MAT + AGE","geographic.area/plot.name",">=100 yrs","3.1 + MAT + AGE x 0.33",FALSE
"ANPP_woody","MAT + AGE","geographic.area/plot.name","none",NA,FALSE
"ANPP_woody","MAT + AGE","geographic.area/plot.name",">=100 yrs","2.11 + MAT + AGE x 0.12",FALSE
"GPP","LAT + AGE","geographic.area/plot.name","none",NA,FALSE
"ANPP","LAT + AGE","geographic.area/plot.name","none",NA,FALSE
"ANPP_woody","LAT + AGE","geographic.area/plot.name","none",NA,FALSE
