"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"ANPP_woody","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,0.000657856677670319,52,0.397,0.53,2.948
"ANPP_woody_stem","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,1.99849248832706e-09,243,0.2456,0.8435,0.2596
"ANPP_woody_branch","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.00112309838481665,73,0.2552,0.6153,1.912
"ANPP_woody","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,0.00518018916241552,52,0.3402,0.609,0.4936
"ANPP_woody_stem","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,2.19301656282175e-07,243,0.2147,0.8636,0.6728
"ANPP_woody_branch","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.000235944241200163,73,0.2622,0.6392,0.1115
"ANPP_woody","Aridity","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,0.000729226274927472,52,0.4877,0.5327,7.156
"ANPP_woody_stem","Aridity","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,2.34772056651556e-10,243,0.2404,0.861,2.089
"ANPP_woody_branch","Aridity","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,0.00358597314805837,73,0.2462,0.7172,2.247
"ANPP_woody","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,0.000105984806195857,52,0.4841,0.541,3.957
"ANPP_woody_stem","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,5.72018944168571e-08,243,0.3314,0.8859,0.2252
"ANPP_woody_branch","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.0104996413909649,73,0.1755,0.6571,0.2227
"ANPP_woody","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,0.000475944446136957,52,0.4266,0.5113,1.309
"ANPP_woody_stem","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,1.22559311900457e-08,243,0.3589,0.9025,9.29
"ANPP_woody_branch","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,0.00312778881339463,73,0.2299,0.6015,2.132
