"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"GPP","AnnualMeanTemp","mat","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,3.828e-16,279,0.6921,0.9041,4.167
"NPP","AnnualMeanTemp","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.079e-09,82,0.5561,0.8356,0.5936
"BNPP_root","AnnualMeanTemp","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.54e-06,90,0.4221,0.7857,1.518
"BNPP_root_fine","AnnualMeanTemp","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001753,81,0.1981,0.3398,1.325
"GPP","AnnualMeanTemp","map","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,3.828e-16,279,0.6921,0.9041,3.136
"NPP","AnnualMeanTemp","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,6.337e-09,81,0.5546,0.8313,0.6171
"BNPP_root","AnnualMeanTemp","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.457e-08,93,0.4606,0.7996,0.4835
"BNPP_root_fine","AnnualMeanTemp","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001948,80,0.198,0.3438,1.642
"GPP","AnnualMeanTemp","lat","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.266e-13,303,0.5726,0.898,1.684
"NPP","AnnualMeanTemp","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.588e-09,95,0.5271,0.8085,1.018
"BNPP_root","AnnualMeanTemp","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.352e-09,108,0.4408,0.7828,0.5574
"BNPP_root_fine","AnnualMeanTemp","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0005135,93,0.216,0.3651,2.017
"GPP","AnnualMeanTemp","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.756e-15,303,0.6152,0.892,1.327
"NPP","AnnualMeanTemp","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.224e-09,95,0.577,0.8248,0.7167
"BNPP_root","AnnualMeanTemp","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.d.int",TRUE,1.333e-09,108,0.509,0.77,0.07194
"BNPP_root_fine","AnnualMeanTemp","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0005135,93,0.216,0.3651,2.017
"GPP","AnnualMeanTemp","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.881e-15,303,0.6242,0.895,1.973
"NPP","AnnualMeanTemp","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.295e-10,95,0.6106,0.8242,1.377
"BNPP_root","AnnualMeanTemp","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.996e-10,108,0.5015,0.7956,1.363
"BNPP_root_fine","AnnualMeanTemp","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0005135,93,0.216,0.3651,2.017
"GPP","AnnualMeanTemp","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.069e-13,303,0.596,0.8977,1.026
