"response","fixed","random","Age.filter","equation","significant","additive","interactive","Rsq.R2m","Rsq.R2c"
"ANPP_woody","lat","geographic.area/plot.name",">=100 yrs","ANPP_woody = 3.52 + lat x -0.05  + age x -0.99 + 0.04  x interaction",TRUE,FALSE,TRUE,0.4128,0.9897
"ANPP_woody_stem","lat","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 3.47 + lat x -0.05  + age x -0.88 + 0.03  x interaction",TRUE,FALSE,TRUE,0.2914,0.9913
"ANPP_woody_branch","lat","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.87 + lat x -0.01  + age x -0.21",TRUE,TRUE,FALSE,0.2965,0.9727
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name",">=100 yrs","ANPP_woody = 0.99 + AnnualMeanTemp x 0.1  + age x 1.04 + -0.11  x interaction",TRUE,FALSE,TRUE,0.5769,0.9918
"ANPP_woody_stem","AnnualMeanTemp","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.1 + AnnualMeanTemp x 0.04  + age x -0.49",TRUE,TRUE,FALSE,0.2356,0.9902
"ANPP_woody_branch","AnnualMeanTemp","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.41 + AnnualMeanTemp x 0.02  + age x -0.14",TRUE,TRUE,FALSE,0.2875,0.9737
"ANPP_woody","TempSeasonality","geographic.area/plot.name",">=100 yrs","ANPP_woody = 3.43 + TempSeasonality x -0.03  + age x -0.87 + 0.02  x interaction",TRUE,FALSE,TRUE,0.5393,0.9902
"ANPP_woody_stem","TempSeasonality","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 3.24 + TempSeasonality x -0.02  + age x -0.77 + 0.01  x interaction",TRUE,FALSE,TRUE,0.2421,0.9904
"ANPP_woody_branch","TempSeasonality","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.85 + TempSeasonality x 0  + age x -0.2",TRUE,TRUE,FALSE,0.2571,0.9739
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name",">=100 yrs","ANPP_woody = 4.5 + TempRangeAnnual x -0.09  + age x -2.04 + 0.09  x interaction",TRUE,FALSE,TRUE,0.5765,0.9911
"ANPP_woody_stem","TempRangeAnnual","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 4.08 + TempRangeAnnual x -0.08  + age x -1.46 + 0.06  x interaction",TRUE,FALSE,TRUE,0.244,0.9913
"ANPP_woody_branch","TempRangeAnnual","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.99 + TempRangeAnnual x -0.01  + age x -0.17",TRUE,TRUE,FALSE,0.2804,0.9745
"ANPP_woody","AnnualPre","geographic.area/plot.name",">=100 yrs","ANPP_woody = 1.32 + AnnualPre x 0  + age x 0.1 + 0  x interaction",TRUE,FALSE,TRUE,0.4566,0.9928
"ANPP_woody_stem","AnnualPre","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 1.78 + AnnualPre x 0  + age x -0.11 + 0  x interaction",TRUE,FALSE,TRUE,0.271,0.9897
"ANPP_woody_branch","AnnualPre","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.6 + AnnualPre x 0  + age x -0.08 + 0  x interaction",TRUE,FALSE,TRUE,0.3219,0.9771
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name",">=100 yrs","ANPP_woody = 3.45 + AnnualFrostDays x -0.01  + age x -0.99 + 0.01  x interaction",TRUE,FALSE,TRUE,0.5413,0.9891
"ANPP_woody_stem","AnnualFrostDays","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 3.13 + AnnualFrostDays x -0.01  + age x -0.77 + 0.01  x interaction",TRUE,FALSE,TRUE,0.2709,0.9911
"ANPP_woody_branch","AnnualFrostDays","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.81 + AnnualFrostDays x 0  + age x -0.17",TRUE,TRUE,FALSE,0.3031,0.9756
"ANPP_woody","AnnualPET","geographic.area/plot.name",">=100 yrs","ANPP_woody = -0.01 + AnnualPET x 0  + age x 1.07 + 0  x interaction",TRUE,FALSE,TRUE,0.3885,0.9899
"ANPP_woody_stem","AnnualPET","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 1.42 + AnnualPET x 0  + age x -0.63",TRUE,TRUE,FALSE,0.2896,0.9902
"ANPP_woody_branch","AnnualPET","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.31 + AnnualPET x 0  + age x -0.23",TRUE,TRUE,FALSE,0.2845,0.9736
"ANPP_woody","VapourPressure","geographic.area/plot.name",">=100 yrs","ANPP_woody = 1.19 + VapourPressure x 8.81  + age x 0.79 + -10.46  x interaction",TRUE,FALSE,TRUE,0.4923,0.9927
"ANPP_woody_stem","VapourPressure","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.14 + VapourPressure x 3.3  + age x -0.49",TRUE,TRUE,FALSE,0.2299,0.9903
"ANPP_woody_branch","VapourPressure","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.21 + VapourPressure x 2.19",TRUE,FALSE,FALSE,0.2744,0.973
"ANPP_woody","Aridity","geographic.area/plot.name",">=100 yrs","ANPP_woody = 1.73 + Aridity x 0  + age x -0.05 + 0  x interaction",TRUE,FALSE,TRUE,0.3722,0.9933
"ANPP_woody_stem","Aridity","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.06 + Aridity x 0  + age x -0.18 + 0  x interaction",TRUE,FALSE,TRUE,0.1797,0.9898
"ANPP_woody_branch","Aridity","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.68 + Aridity x 0  + age x -0.09 + 0  x interaction",TRUE,FALSE,TRUE,0.3057,0.9772
"ANPP_woody","PotentialEvapotranspiration","geographic.area/plot.name",">=100 yrs","ANPP_woody = -0.53 + PotentialEvapotranspiration x 0  + age x -0.43",TRUE,TRUE,FALSE,0.472,0.9883
"ANPP_woody_stem","PotentialEvapotranspiration","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 3.25 + PotentialEvapotranspiration x 0  + age x -1.12 + 0  x interaction",TRUE,FALSE,TRUE,0.1521,0.9908
"ANPP_woody_branch","PotentialEvapotranspiration","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.43 + PotentialEvapotranspiration x 0  + age x -0.21",FALSE,TRUE,FALSE,0.2319,0.9744
"ANPP_woody","VapourPressureDeficit","geographic.area/plot.name",">=100 yrs","ANPP_woody = -0.07 + VapourPressureDeficit x 4.71  + age x 0.82 + -2.36  x interaction",TRUE,FALSE,TRUE,0.6268,0.9886
"ANPP_woody_stem","VapourPressureDeficit","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.76 + VapourPressureDeficit x 0.27  + age x -0.62",FALSE,TRUE,FALSE,0.1739,0.9903
"ANPP_woody_branch","VapourPressureDeficit","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.58 + VapourPressureDeficit x 0.23  + age x -0.2",FALSE,TRUE,FALSE,0.21,0.9735
