"response","fixed","random","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c"
"ANPP_woody","Aridity","geographic.area/plot.name","age.greater.than.100",TRUE,0.03357,63,0.1604,0.4722
"ANPP_woody_stem","Aridity","geographic.area/plot.name","age.greater.than.100",TRUE,0.0001333,315,0.06245,0.8296
"ANPP_woody_branch","Aridity","geographic.area/plot.name","age.greater.than.100",FALSE,0.851,78,0.00555,0.6545
"ANPP_woody","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100",TRUE,0.001532,63,0.3003,0.633
"ANPP_woody_stem","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100",TRUE,2.18e-06,315,0.1684,0.8724
"ANPP_woody_branch","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100",FALSE,0.06089,78,0.09246,0.6501
"ANPP_woody","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100",TRUE,0.0003906,63,0.3231,0.6246
"ANPP_woody_stem","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100",TRUE,1.686e-07,317,0.1518,0.866
"ANPP_woody_branch","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100",TRUE,0.008401,78,0.1433,0.6611
"woody.mortality_ag","mat","geographic.area/plot.name","age.greater.than.100",TRUE,0.00329,35,0.2846,0.2846
"R_auto","mat","geographic.area/plot.name","age.greater.than.100",TRUE,2.667e-06,16,0.853,0.9618
"woody.mortality_ag","map","geographic.area/plot.name","age.greater.than.100",FALSE,0.9566,35,0.00274,0.00274
"R_auto","map","geographic.area/plot.name","age.greater.than.100",TRUE,4.978e-06,16,0.8424,0.9576
"woody.mortality_ag","lat","geographic.area/plot.name","age.greater.than.100",TRUE,0.0004484,43,0.3485,0.8691
"R_auto","lat","geographic.area/plot.name","age.greater.than.100",TRUE,1.594e-05,26,0.7089,0.9108
"woody.mortality_ag","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,0.03083,43,0.1524,0.1524
"R_auto","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",TRUE,1.136e-05,26,0.7236,0.921
"woody.mortality_ag","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,0.002929,43,0.288,0.9122
"R_auto","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,6.361e-06,26,0.7415,0.919
"woody.mortality_ag","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",FALSE,0.7082,43,0.01712,0.04672
"R_auto","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,8.775e-06,26,0.7411,0.9239
"woody.mortality_ag","AnnualPre","geographic.area/plot.name","age.greater.than.100",FALSE,0.9885,43,0.0005502,0.0005502
"R_auto","AnnualPre","geographic.area/plot.name","age.greater.than.100",TRUE,0.0001584,26,0.6401,0.9126
"woody.mortality_ag","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",TRUE,0.01586,43,0.2333,0.781
"R_auto","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",TRUE,5.559e-05,26,0.6898,0.9208
